target
material_name,resistivity,bandgap,structure
Ge,0.3071,2.38,Cubic
CuO,0.6032,2.51,Orthorhombic
Si,0.6112,1.1,Hexagonal
Ge,0.6479,2.26,Orthorhombic
Si,0.9591,1.84,Monoclinic
CuMnSnO,0.1063,3.18,Tetragonal
GaAs,0.803,2.35,Monoclinic
CuO,0.8128,3.31,Monoclinic
ZnO,0.7307,1.07,Orthorhombic
CuMnSnO,0.5404,2.3,Monoclinic
Si,0.9465,1.91,Cubic
Si,0.4346,3.48,Tetragonal
ZnO,0.4448,2.0,Monoclinic
CuO,0.2153,3.43,Orthorhombic
ZnO,0.8358,1.26,Hexagonal
Si,0.0249,2.08,Tetragonal
CuO,0.3637,1.18,Cubic
Ge,0.1572,2.12,Cubic
ZnO,0.0274,1.61,Tetragonal
GaAs,0.1864,3.2,Hexagonal
CuMnSnO,0.2055,1.12,Tetragonal
GaAs,0.2059,3.29,Cubic
Ge,0.023,1.98,Tetragonal
ZnO,0.8708,2.37,Tetragonal
CuO,0.3019,1.17,Tetragonal
Ge,0.1892,2.48,Cubic
Ge,0.3277,2.67,Monoclinic
Si,0.657,1.05,Monoclinic
Si,0.2657,3.05,Cubic
CuMnSnO,0.9296,3.27,Orthorhombic
Ge,0.3936,1.15,Orthorhombic
ZnO,0.5618,2.76,Tetragonal
GaAs,0.4236,2.9,Hexagonal
CuO,0.4375,3.29,Cubic
CuMnSnO,0.2188,1.76,Cubic
CuMnSnO,0.6318,3.46,Monoclinic
CuO,0.8975,2.68,Monoclinic
Si,0.7977,3.17,Orthorhombic
Ge,0.4318,1.18,Orthorhombic
Ge,0.5426,3.22,Orthorhombic
GaAs,0.5604,3.34,Monoclinic
GaAs,0.1518,2.43,Hexagonal
Si,0.2358,2.77,Tetragonal
ZnO,0.1063,1.69,Hexagonal
Ge,0.6723,2.32,Monoclinic
Ge,0.2926,2.59,Orthorhombic
CuMnSnO,0.6475,1.28,Monoclinic
Si,0.2426,2.54,Monoclinic
CuMnSnO,0.8167,2.8,Cubic
GaAs,0.8298,2.76,Orthorhombic
ZnO,0.3919,3.21,Hexagonal
Si,0.7425,2.59,Tetragonal
CuO,0.2406,1.82,Monoclinic
Si,0.3514,1.67,Cubic
Ge,0.5881,3.01,Cubic
CuMnSnO,0.7812,2.72,Cubic
ZnO,0.2845,3.36,Monoclinic
Si,0.7304,3.33,Hexagonal
CuO,0.8873,2.76,Monoclinic
GaAs,0.7119,1.34,Hexagonal
CuMnSnO,0.4284,3.44,Tetragonal
ZnO,0.5673,1.02,Orthorhombic
GaAs,0.7956,1.83,Monoclinic
Ge,0.2455,1.02,Orthorhombic
Si,0.9402,1.69,Cubic
CuMnSnO,0.719,2.33,Orthorhombic
Ge,0.1981,2.67,Hexagonal
ZnO,0.4602,1.42,Monoclinic
GaAs,0.8086,1.27,Monoclinic
CuMnSnO,0.9952,1.68,Cubic
GaAs,0.4134,2.78,Cubic
CuMnSnO,0.7668,1.49,Cubic
GaAs,0.9096,3.19,Cubic
CuMnSnO,0.8886,2.13,Cubic
ZnO,0.5646,3.24,Orthorhombic
GaAs,0.2719,3.34,Orthorhombic
Si,0.5136,1.41,Hexagonal
Ge,0.4636,1.05,Orthorhombic
Si,0.6236,3.49,Cubic
GaAs,0.3708,1.61,Hexagonal
Ge,0.4982,2.96,Orthorhombic
CuO,0.5566,1.44,Orthorhombic
CuO,0.6971,1.86,Monoclinic
ZnO,0.4075,2.46,Orthorhombic
GaAs,0.8406,1.1,Orthorhombic
GaAs,0.7807,1.7,Hexagonal
GaAs,0.2034,3.36,Cubic
Ge,0.6176,1.48,Tetragonal
Ge,0.8439,3.42,Tetragonal
GaAs,0.4069,2.84,Tetragonal
Si,0.4732,1.04,Cubic
Si,0.2929,2.42,Orthorhombic
GaAs,0.717,1.09,Tetragonal
CuMnSnO,0.2079,1.39,Hexagonal
GaAs,0.758,2.61,Monoclinic
Si,0.9204,1.17,Cubic
ZnO,0.3973,2.67,Orthorhombic
GaAs,0.3713,2.29,Tetragonal
ZnO,0.5576,1.14,Cubic
Ge,0.1707,1.92,Tetragonal
ZnO,0.2542,1.95,Tetragonal
ZnO,0.6142,2.91,Orthorhombic
Ge,0.9193,2.76,Monoclinic
ZnO,0.6734,2.81,Orthorhombic
Si,0.7177,2.77,Hexagonal
CuMnSnO,0.7752,1.86,Cubic
Ge,0.8562,3.35,Orthorhombic
CuO,0.5468,1.9,Hexagonal
CuO,0.5988,1.4,Tetragonal
Si,0.1622,1.12,Hexagonal
Ge,0.4195,1.86,Hexagonal
GaAs,0.7558,2.85,Tetragonal
GaAs,0.4803,1.79,Tetragonal
Ge,0.5456,1.79,Hexagonal
GaAs,0.3655,2.56,Tetragonal
GaAs,0.8247,1.82,Orthorhombic
ZnO,0.9458,1.33,Tetragonal
Ge,0.77,2.6,Monoclinic
CuO,0.3978,1.8,Hexagonal
Ge,0.2911,1.69,Hexagonal
GaAs,0.978,3.49,Hexagonal
Ge,0.6509,2.51,Hexagonal
CuMnSnO,0.6348,1.36,Orthorhombic
ZnO,0.1146,2.75,Tetragonal
ZnO,0.7772,1.64,Monoclinic
ZnO,0.4585,1.21,Tetragonal
CuO,0.7776,2.09,Hexagonal
ZnO,0.5388,2.74,Hexagonal
ZnO,0.5904,3.43,Monoclinic
GaAs,0.8536,1.69,Orthorhombic
GaAs,0.5094,3.0,Orthorhombic
CuO,0.8887,1.28,Hexagonal
ZnO,0.3346,1.03,Tetragonal
CuO,0.8924,3.02,Hexagonal
GaAs,0.9159,2.22,Hexagonal
Ge,0.2076,2.03,Monoclinic
Ge,0.7545,1.25,Hexagonal
Ge,0.0775,2.43,Orthorhombic
ZnO,0.5242,1.16,Tetragonal
ZnO,0.1632,3.31,Tetragonal
Si,0.7656,1.28,Cubic
ZnO,0.9534,2.36,Orthorhombic
CuMnSnO,0.5532,1.98,Monoclinic
CuO,0.38,2.29,Tetragonal
Ge,0.733,1.97,Hexagonal
GaAs,0.1632,3.41,Tetragonal
CuMnSnO,0.8601,1.29,Cubic
CuMnSnO,0.2368,1.47,Orthorhombic
CuMnSnO,0.1514,2.2,Hexagonal
CuMnSnO,0.1401,1.43,Hexagonal
ZnO,0.2726,1.02,Cubic
